area,populat,once_cnt,sec_cnt,once_ratio,sec_ratio,over12,over12_once_ratio,over12_sec_ratio,lastupdate
（沖縄県）,1485118,927410,779045,62.45,52.46,1286886,72.07,60.54,2021-10-05 00:00:00
那覇市,320467,204525,169414,63.82,52.86,283064,72.25,59.85,2021-10-05 00:00:00
宜野湾市,100462,56964,40754,56.70,40.57,86483,65.87,47.12,2021-10-05 00:00:00
石垣市,49848,35075,34155,70.36,68.52,43012,81.55,79.41,2021-10-05 00:00:00
浦添市,115548,73044,61274,63.22,53.03,99990,73.05,61.28,2021-10-05 00:00:00
名護市,63724,39510,32546,62.00,51.07,55051,71.77,59.12,2021-10-05 00:00:00
糸満市,62349,36743,28077,58.93,45.03,53299,68.94,52.68,2021-10-05 00:00:00
沖縄市,142973,83020,65870,58.07,46.07,123515,67.21,53.33,2021-10-05 00:00:00
豊見城市,65766,40531,31753,61.63,48.28,55496,73.03,57.22,2021-10-05 00:00:00
うるま市,125338,73829,62749,58.90,50.06,108452,68.08,57.86,2021-10-05 00:00:00
宮古島市,55577,38555,37040,69.37,66.65,48596,79.34,76.22,2021-10-05 00:00:00
南城市,44924,28999,25663,64.55,57.13,38735,74.87,66.25,2021-10-05 00:00:00
国頭村,4581,3359,3277,73.32,71.53,4139,81.15,79.17,2021-10-05 00:00:00
大宜味村,3051,2270,2187,74.40,71.68,2793,81.27,78.30,2021-10-05 00:00:00
東村,1717,1313,1266,76.47,73.73,1553,84.55,81.52,2021-10-05 00:00:00
今帰仁村,9322,6368,5927,68.31,63.58,8262,77.08,71.74,2021-10-05 00:00:00
本部町,13153,8946,7598,68.01,57.77,11674,76.63,65.08,2021-10-05 00:00:00
恩納村,11050,7340,6775,66.43,61.31,9794,74.94,69.18,2021-10-05 00:00:00
宜野座村,6140,3938,3824,64.14,62.28,5189,75.89,73.69,2021-10-05 00:00:00
金武町,11450,7217,6761,63.03,59.05,9851,73.26,68.63,2021-10-05 00:00:00
伊江村,4449,3430,3368,77.10,75.70,3951,86.81,85.24,2021-10-05 00:00:00
読谷村,41642,25733,21968,61.80,52.75,36058,71.37,60.92,2021-10-05 00:00:00
嘉手納町,13409,7756,6823,57.84,50.88,11585,66.95,58.90,2021-10-05 00:00:00
北谷町,28850,17071,14421,59.17,49.99,24812,68.80,58.12,2021-10-05 00:00:00
北中城村,17821,10469,8962,58.75,50.29,15406,67.95,58.17,2021-10-05 00:00:00
中城村,22046,13387,11597,60.72,52.60,18694,71.61,62.04,2021-10-05 00:00:00
西原町,35454,24434,21432,68.92,60.45,30945,78.96,69.26,2021-10-05 00:00:00
与那原町,20117,12859,11428,63.92,56.81,17022,75.54,67.14,2021-10-05 00:00:00
南風原町,40375,24468,20193,60.60,50.01,33604,72.81,60.09,2021-10-05 00:00:00
渡嘉敷村,718,495,484,68.94,67.41,614,80.62,78.83,2021-10-05 00:00:00
座間味村,897,648,639,72.24,71.24,776,83.51,82.35,2021-10-05 00:00:00
粟国村,684,509,496,74.42,72.51,623,81.70,79.61,2021-10-05 00:00:00
渡名喜村,342,279,271,81.58,79.24,320,87.19,84.69,2021-10-05 00:00:00
南大東村,1224,947,928,77.37,75.82,1066,88.84,87.05,2021-10-05 00:00:00
北大東村,561,427,426,76.11,75.94,480,88.96,88.75,2021-10-05 00:00:00
伊平屋村,1200,935,926,77.92,77.17,1059,88.29,87.44,2021-10-05 00:00:00
伊是名村,1322,1029,998,77.84,75.49,1152,89.32,86.63,2021-10-05 00:00:00
久米島町,7652,5929,5777,77.48,75.50,6793,87.28,85.04,2021-10-05 00:00:00
八重瀬町,31882,19953,16130,62.58,50.59,26879,74.23,60.01,2021-10-05 00:00:00
多良間村,1091,907,886,83.13,81.21,981,92.46,90.32,2021-10-05 00:00:00
竹富町,4262,2995,2914,70.27,68.37,3677,81.45,79.25,2021-10-05 00:00:00
与那国町,1680,1204,1068,71.67,63.57,1441,83.55,74.12,2021-10-05 00:00:00
