area,populat,once_cnt,sec_cnt,once_ratio,sec_ratio,elder,elder_once_cnt,elder_sec_cnt,elder_once_ratio,elder_sec_ratio,lastupdate
（全国）,126645025,73155497,58873812,57.76,46.49,35767994,32145843,31575136,89.87,88.28,2021-09-15 00:00:00
（沖縄県）,1485118,776967,596025,52.32,40.13,331973,286838,276272,86.40,83.22,2021-09-15 00:00:00
那覇市,320467,172256,125578,53.75,39.19,75542,62851,60596,83.20,80.21,2021-09-15 00:00:00
宜野湾市,100462,42541,30672,42.35,30.53,19711,16384,15809,83.12,80.20,2021-09-15 00:00:00
石垣市,49848,30320,28807,60.82,57.79,11031,9955,9954,90.25,90.24,2021-09-15 00:00:00
浦添市,115548,59387,44947,51.40,38.90,23218,19860,18966,85.54,81.69,2021-09-15 00:00:00
名護市,63724,32485,25823,50.98,40.52,14379,12821,12426,89.16,86.42,2021-09-15 00:00:00
糸満市,62349,28683,21910,46.00,35.14,13448,11542,11221,85.83,83.44,2021-09-15 00:00:00
沖縄市,142973,67211,47504,47.01,33.23,29494,25537,24302,86.58,82.40,2021-09-15 00:00:00
豊見城市,65766,30408,23776,46.24,36.15,12590,10721,10503,85.15,83.42,2021-09-15 00:00:00
うるま市,125338,65378,43033,52.16,34.33,28112,24152,22819,85.91,81.17,2021-09-15 00:00:00
宮古島市,55577,36789,32702,66.19,58.84,14667,13339,12938,90.95,88.21,2021-09-15 00:00:00
南城市,44924,24731,19418,55.05,43.22,11454,10143,9847,88.55,85.97,2021-09-15 00:00:00
国頭村,4581,3206,2777,69.98,60.62,1632,1503,1452,92.10,88.97,2021-09-15 00:00:00
大宜味村,3051,2143,1893,70.24,62.05,1180,1061,1028,89.92,87.12,2021-09-15 00:00:00
東村,1717,1301,1251,75.77,72.86,617,592,582,95.95,94.33,2021-09-15 00:00:00
今帰仁村,9322,5959,4245,63.92,45.54,3079,2793,2660,90.71,86.39,2021-09-15 00:00:00
本部町,13153,7559,5864,57.47,44.58,4177,3728,3513,89.25,84.10,2021-09-15 00:00:00
恩納村,11050,6905,6060,62.49,54.84,2686,2417,2369,89.99,88.20,2021-09-15 00:00:00
宜野座村,6140,3576,3039,58.24,49.50,1487,1339,1281,90.05,86.15,2021-09-15 00:00:00
金武町,11450,6315,5490,55.15,47.95,3057,2618,2569,85.64,84.04,2021-09-15 00:00:00
伊江村,4449,3335,2989,74.96,67.18,1530,1405,1346,91.83,87.97,2021-09-15 00:00:00
読谷村,41642,22242,17900,53.41,42.99,9144,7860,7372,85.96,80.62,2021-09-15 00:00:00
嘉手納町,13409,6908,4991,51.52,37.22,3233,2792,2678,86.36,82.83,2021-09-15 00:00:00
北谷町,28850,14522,11590,50.34,40.17,5910,5096,4747,86.23,80.32,2021-09-15 00:00:00
北中城村,17821,9239,6797,51.84,38.14,3985,3384,3242,84.92,81.36,2021-09-15 00:00:00
中城村,22046,11667,9996,52.92,45.34,4266,3816,3681,89.45,86.29,2021-09-15 00:00:00
西原町,35454,20175,15823,56.90,44.63,7724,6929,6712,89.71,86.90,2021-09-15 00:00:00
与那原町,20117,10836,9444,53.86,46.95,4126,3570,3486,86.52,84.49,2021-09-15 00:00:00
南風原町,40375,19958,14650,49.43,36.28,7518,6743,6574,89.69,87.44,2021-09-15 00:00:00
渡嘉敷村,718,488,469,67.97,65.32,161,157,154,97.52,95.65,2021-09-15 00:00:00
座間味村,897,643,635,71.68,70.79,220,203,205,92.27,93.18,2021-09-15 00:00:00
粟国村,684,501,486,73.25,71.05,256,237,230,92.58,89.84,2021-09-15 00:00:00
渡名喜村,342,273,266,79.82,77.78,157,131,127,83.44,80.89,2021-09-15 00:00:00
南大東村,1224,934,925,76.31,75.57,313,292,291,93.29,92.97,2021-09-15 00:00:00
北大東村,561,421,414,75.04,73.80,121,117,114,96.69,94.21,2021-09-15 00:00:00
伊平屋村,1200,903,893,75.25,74.42,355,347,343,97.75,96.62,2021-09-15 00:00:00
伊是名村,1322,982,851,74.28,64.37,427,397,380,92.97,88.99,2021-09-15 00:00:00
久米島町,7652,5718,5558,74.73,72.63,2309,2158,2131,93.46,92.29,2021-09-15 00:00:00
八重瀬町,31882,15246,11932,47.82,37.43,6951,6256,6060,90.00,87.18,2021-09-15 00:00:00
多良間村,1091,873,835,80.02,76.54,349,336,329,96.28,94.27,2021-09-15 00:00:00
竹富町,4262,2896,2756,67.95,64.66,986,921,904,93.41,91.68,2021-09-15 00:00:00
与那国町,1680,1054,1036,62.74,61.67,371,335,331,90.30,89.22,2021-09-15 00:00:00
